[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/NotFound.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/assets/images/fastapi-logo.svg?import" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/ActionsMenu.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/Navbar.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/UserSettings/Appearance.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/UserSettings/DeleteAccount.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/UserSettings/ChangePassword.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/UserSettings/UserInformation.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/core/request.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/SidebarItems.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Items/EditItem.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/DeleteAlert.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Admin/EditUser.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Items/AddItem.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/UserSettings/DeleteConfirmation.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Admin/AddUser.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/assets/images/fastapi-logo.svg" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
